"School Name","School URL","School Teams","Errors"
"Flanagan (FL)","https://hspf17.debatecoaches.org//Flanagan/","[]","No debaters listed"
"Flintridge Prep (CA)","https://hspf17.debatecoaches.org//Flintridge%20Prep/","[]","No debaters listed"
"Flower Mound (TX)","https://hspf17.debatecoaches.org//Flower%20Mound/","['Flower Mound Kyle Montgomery - Anisha Gowda']",""
"Fort Lauderdale (FL)","https://hspf17.debatecoaches.org//Fort%20Lauderdale/","[]","No debaters listed"
"Fort Osage (MO)","https://hspf17.debatecoaches.org//Fort%20Osage/","[]","No debaters listed"
"Freehold Township (NJ)","https://hspf17.debatecoaches.org//Freehold%20Township/","[]","No debaters listed"
"Fremont (NE)","https://hspf17.debatecoaches.org//Fremont/","[]","No debaters listed"
"Friendswood (TX)","https://hspf17.debatecoaches.org//Friendswood/","[]","No debaters listed"
"Fullerton Union (CA)","https://hspf17.debatecoaches.org//Fullerton%20Union/","[]","No debaters listed"
"Gabrielino (CA)","https://hspf17.debatecoaches.org//Gabrielino/","[]","No debaters listed"
"Galloway (GA)","https://hspf17.debatecoaches.org//Galloway/","[]","No debaters listed"
"Garfield (WA)","https://hspf17.debatecoaches.org//Garfield/","[]","No debaters listed"
"George Walton (GA)","https://hspf17.debatecoaches.org//George%20Walton/","[]","No debaters listed"
"George Washington (CO)","https://hspf17.debatecoaches.org//George%20Washington/","[]","No debaters listed"
"Georgetown Day (DC)","https://hspf17.debatecoaches.org//Georgetown%20Day/","[]","No debaters listed"
"Gig Harbor (WA)","https://hspf17.debatecoaches.org//Gig%20Harbor/","[]","No debaters listed"
"Glenbrook North (IL)","https://hspf17.debatecoaches.org//Glenbrook%20North/","[]","No debaters listed"
"Glenbrook South (IL)","https://hspf17.debatecoaches.org//Glenbrook%20South/","[]","No debaters listed"
"Gonzaga Prep (WA)","https://hspf17.debatecoaches.org//Gonzaga%20Prep/","[]","No debaters listed"
"Grapevine (TX)","https://hspf17.debatecoaches.org//Grapevine/","[]","No debaters listed"
